Row ID,Order ID,Country,Order Date,Order_Year,Order_Month,Ship Date,Days_Gap,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Discount Amount,Sales After Discount,Profit,Shipping Cost,Order Priority
32298,CA-2012-124891,CA,31-07-2012,2012,Jul,31-07-2012,0,Same Day,RH-19495,Rick Hansen,Consumer,New York City,New York,United States,10024,US,East,TEC-AC-10003033,Technology,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,"$2,310",7,0,$0,"$2,310",$762,$934,Critical
26341,IN-2013-77878,IN,05-02-2013,2013,Feb,07-02-2013,2,Second Class,JR-16210,Justin Ritter,Corporate,Wollongong,New South Wales,Australia,,APAC,Oceania,FUR-CH-10003950,Furniture,Chairs,"Novimex Executive Leather Armchair, Black","$3,709",9,0.1,$371,"$3,338",-$289,$924,Critical
25330,IN-2013-71249,IN,17-10-2013,2013,Oct,18-10-2013,1,First Class,CR-12730,Craig Reiter,Consumer,Brisbane,Queensland,Australia,,APAC,Oceania,TEC-PH-10004664,Technology,Phones,"Nokia Smart Phone, with Caller ID","$5,175",9,0.1,$518,"$4,658",$920,$915,Medium
13524,ES-2013-1579342,ES,28-01-2013,2013,Jan,30-01-2013,2,First Class,KM-16375,Katherine Murray,Home Office,Berlin,Berlin,Germany,,EU,Central,TEC-PH-10004583,Technology,Phones,"Motorola Smart Phone, Cordless","$2,893",5,0.1,$289,"$2,603",-$97,$910,Medium
47221,SG-2013-4320,SG,05-11-2013,2013,Nov,06-11-2013,1,Same Day,RH-9495,Rick Hansen,Consumer,Dakar,Dakar,Senegal,,Africa,Africa,TEC-SHA-10000501,Technology,Copiers,"Sharp Wireless Fax, High-Speed","$2,833",8,0,$0,"$2,833",$312,$903,Critical
22732,IN-2013-42360,IN,28-06-2013,2013,Jun,01-07-2013,3,Second Class,JM-15655,Jim Mitchum,Corporate,Sydney,New South Wales,Australia,,APAC,Oceania,TEC-PH-10000030,Technology,Phones,"Samsung Smart Phone, with Caller ID","$2,863",5,0.1,$286,"$2,576",$763,$897,Critical
30570,IN-2011-81826,IN,07-11-2011,2011,Nov,09-11-2011,2,First Class,TS-21340,Toby Swindell,Consumer,Porirua,Wellington,New Zealand,,APAC,Oceania,FUR-CH-10004050,Furniture,Chairs,"Novimex Executive Leather Armchair, Adjustable","$1,822",4,0,$0,"$1,822",$565,$895,Critical
31192,IN-2012-86369,IN,14-04-2012,2012,Apr,18-04-2012,4,Standard Class,MB-18085,Mick Brown,Consumer,Hamilton,Waikato,New Zealand,,APAC,Oceania,FUR-TA-10002958,Furniture,Tables,"Chromcraft Conference Table, Fully Assembled","$5,245",6,0,$0,"$5,245",$996,$878,High
40155,CA-2014-135909,CA,14-10-2014,2014,Oct,21-10-2014,7,Standard Class,JW-15220,Jane Waco,Corporate,Sacramento,California,United States,95823,US,West,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,"$5,084",5,0.2,"$1,017","$4,067","$1,906",$868,Low
40936,CA-2012-116638,CA,28-01-2012,2012,Jan,31-01-2012,3,Second Class,JH-15985,Joseph Holt,Consumer,Concord,North Carolina,United States,28027,US,South,FUR-TA-10000198,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,"$4,298",13,0.4,"$1,719","$2,579","-$1,862",$866,Critical
